Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/8/88/1993,54.4092,-3.55335,19.09,15.837,33.576,0.62,0.254375,2828.427002,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,2,0,0,0,0,150,78,16,154,4,0,0,8,0,0,0,0,0,0,0,154,78,16,164,0,0,0,0
BTS-VIIa/445/106/1993,54.4125,-5,139.69,12.244,34.191,0.71,0.9536875,25632.01172,0,7886.733333,0,0,0,0.103841552,2834.975551,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0
BTS-VIIa/17/89/1993,54.3367,-3.72,32.56,15.904,33.94,0.5,0.0471875,15811.3877,48.64614717,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/446/107/1993,54.36835,-5.2891,90.86,13.567,34.172,0.68,0.3340625,11401.75391,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0
BTS-VIIa/16/91/1993,54.4916,-3.6841,21.27,15.968,33.427,0.51,0.126875,3605.55127,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,4,4,2,4,0,0,0,0
BTS-VIIa/7/92/1993,54.6059,-3.6358,9.08,15.882,33.21,0.53,0.254375,4123.105469,0,110.4,0,0,0,0.37203059,10557.68208,2,0,0,2,0,0,0,0,110,94,10,110,8,6,0,8,0,0,0,0,0,0,0,120,100,10,120,0,0,0,0
BTS-VIIa/15/101/1993,54.6091,-3.91255,30.43,16.186,33.767,0.66,0.3340625,18248.28711,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,208,166,28,208,4,2,0,4,0,0,0,0,0,0,0,212,168,28,212,0,0,0,0
BTS-VIIa/13/99/1993,54.7159,-3.8884,19.7,15.977,33.561,0.76,0.254375,7810.25,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,16,16,6,16,16,14,0,16,0,0,0,0,0,0,0,32,30,6,32,0,0,0,0
BTS-VIIa/6/94/1993,54.66415,-3.81005,20.15,16.117,33.669,0.67,0.254375,16000,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,140,62,12,154,30,6,0,32,0,0,0,0,0,0,0,170,68,12,186,0,0,0,0
BTS-VIIa/14/98/1993,54.6867,-4.22755,32.59,16.108,33.758,0.71,0.429296875,8246.210938,0,2769.6,0,0,0,0.522871246,7042.793594,0,0,0,0,0,0,0,0,8,8,0,8,2,2,0,2,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0
