LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-3.28005,53.9692,BTS-VIIa/12/93/1995,0,14.6,16.102,33.362,10770.3291,,0.94,0,0,0,0
-4.3042,52.37915,BTS-VIIa/321/71/1995,0,15.86,17.066,34.185,13000,,0.43,0,2,0,0
-4.7675,52.42245,BTS-VIIa/416/70/1995,0,43.75,15.799,34.444,32388.27148,,0.8,2,2,0,0
-5.8492,52.4792,BTS-VIIa/430/153/1995,0,68.78,14.605,34.438,26000,,1.41,4,2,0,2
-4.3641,52.6409,BTS-VIIa/316/72/1995,0,15.79,16.686,34.233,15524.1748,,0.42,0,0,0,0
-4.58245,52.69585,BTS-VIIa/309/74/1995,0,37.92,16.243,34.303,10770.3291,,0.58,0,4,0,0
-6.09415,52.7516,BTS-VIIa/233/152/1995,0,12.58,16.055,34.184,3162.277588,,0.86,0,0,0,0
-4.27,52.79505,BTS-VIIa/313/73/1995,0,12.95,16.688,34.126,9055.385742,,0.31,0,0,0,0
-5.36005,52.97995,BTS-VIIa/441/149/1995,0,71.11,14.746,34.244,44011.36328,,1.5,0,0,0,0
-4.8633,52.93415,BTS-VIIa/442/145/1995,0,59.88,15.185,34.597,13453.62402,,1.31,0,0,0,0
-5.9525,53.01335,BTS-VIIa/230/151/1995,0,21.31,15.764,34.237,6403.124512,,1.34,2,0,0,0
-4.52995,53.0534,BTS-VIIa/305/144/1995,0,16.02,15.38,34.512,8602.325195,,0.54,0,0,0,0
-5.7225,53.1992,BTS-VIIa/440/150/1995,0,48.89,15.148,34.18,23086.79297,,1.1,0,0,0,0
-4.65505,53.14745,BTS-VIIa/302/143/1995,0,37.74,15.305,34.468,11704.69922,,0.88,0,0,0,0
-5.2175,53.3141,BTS-VIIa/421/146/1995,21.61374459,90.89,14.32,34.257,35057.09375,,1.17,2,0,0,0
-3.79335,53.36665,BTS-VIIa/37/82/1995,0,13.58,16.669,34.214,5000,,0.74,0,0,0,0
